tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
2026-09-25 05:03:41.289249 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:41.309159 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:41.328998 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:41.349317 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:41.369612 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:41.389334 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:41.409205 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:41.429181 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:41.449192 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:41.470806 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:41.489082 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:41.509229 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:41.529098 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:41.587302 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:41.614643 IP 89.58.15.243.10860 > 10.8.1.17.61321: UDP, length 136
2026-09-25 05:03:41.634855 IP 89.58.15.243.10860 > 10.8.1.17.61321: UDP, length 136
2026-09-25 05:03:41.655090 IP 89.58.15.243.10860 > 192.168.0.170.61322: UDP, length 136
2026-09-25 05:03:41.675268 IP 89.58.15.243.10860 > 192.168.0.170.61322: UDP, length 136
2026-09-25 05:03:41.695611 IP 89.58.15.243.10860 > 89.125.104.114.61321: UDP, length 136
2026-09-25 05:03:41.715839 IP 89.58.15.243.10860 > 89.125.104.114.61321: UDP, length 136
2026-09-25 05:03:41.768343 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:41.788570 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:41.811164 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:41.830250 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:41.834350 IP 62.148.235.153.61322 > 89.58.15.243.10860: UDP, length 128
2026-09-25 05:03:41.834512 IP 89.58.15.243.10860 > 62.148.235.153.61322: UDP, length 84
2026-09-25 05:03:41.834540 IP 89.58.15.243.10860 > 62.148.235.153.61322: UDP, length 136
2026-09-25 05:03:41.848386 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:41.868423 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:41.888467 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:41.908477 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:41.908569 IP 62.148.235.153.61322 > 89.58.15.243.10860: UDP, length 64
2026-09-25 05:03:41.909338 IP 89.58.15.243.10860 > 62.148.235.153.61322: UDP, length 217
2026-09-25 05:03:41.928391 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:41.948237 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:41.970479 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:41.971161 IP 62.148.235.153.61322 > 89.58.15.243.10860: UDP, length 128
2026-09-25 05:03:41.971303 IP 89.58.15.243.10860 > 62.148.235.153.61322: UDP, length 84
2026-09-25 05:03:41.983390 IP 62.148.235.153.61322 > 89.58.15.243.10860: UDP, length 644
2026-09-25 05:03:41.984282 IP 89.58.15.243.10860 > 62.148.235.153.61322: UDP, length 553
2026-09-25 05:03:41.989922 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:42.008456 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:42.028446 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:42.035363 IP 62.148.235.153.61322 > 89.58.15.243.10860: UDP, length 128
2026-09-25 05:03:42.035509 IP 89.58.15.243.10860 > 62.148.235.153.61322: UDP, length 84
2026-09-25 05:03:42.048510 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:42.058557 IP 62.148.235.153.61322 > 89.58.15.243.10860: UDP, length 67
2026-09-25 05:03:42.068387 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:42.068854 IP 89.58.15.243.10860 > 62.148.235.153.61322: UDP, length 145
2026-09-25 05:03:42.074802 IP 62.148.235.153.61322 > 89.58.15.243.10860: UDP, length 105
2026-09-25 05:03:42.075343 IP 89.58.15.243.11300 > 185.45.152.18.44710: UDP, length 172
2026-09-25 05:03:42.088416 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:42.089180 IP 89.58.15.243.10860 > 62.148.235.153.61322: UDP, length 142
